window_idx,status,start_jd,stop_jd,duration_hours,n_emitters,interaction_vs_processed_background_db,processed_starlink_survival_vs_raw_starlink_db,interaction_survival_vs_raw_starlink_db,subspace_rank,delay_excess_power_coherent_complex_sum,delay_excess_power_incoherent_sum,coherence_amplification_ratio,coherence_amplification_db,max_single_delay_excess_power,median_single_delay_excess_power,max_pair_peak_coherence,median_pair_peak_coherence
0,ok,2459861.2530376324,2459861.2946464615,0.9986118972301483,50,302.5996865686724,-43.2327998414339,-43.26276046377137,5,1.3209721561406526e+36,2.5033163942891444e+35,5.276888527371959,7.223779199382415,1.5888370887795017e+34,9.549537687912091e+32,1.0000000000000007,0.17763340123221905
1,ok,2459861.2947583133,2459861.3363671424,0.9986118972301483,50,298.44046861332754,-42.94613519812221,-42.94613519812221,5,1.0083322046655943e+36,2.0499652104034468e+35,4.918777155574986,6.918571473618568,1.4606620216446325e+34,1.3948594697688736e+33,1.0000000000000007,0.12443928669766909
2,ok,2459861.336478994,2459861.3779759714,0.9959274530410767,50,298.14876995370986,-48.41718174291694,-48.41718174291694,5,1.0818625220133097e+36,2.3243707332664455e+35,4.654431870655009,6.678666776917037,1.289200130702267e+34,3.087225863341008e+33,1.0000000000000007,0.44286218104774283
3,ok,2459861.3780878233,2459861.4196966523,0.9986118972301483,50,299.27494572592076,-43.01340358564068,-43.01340358564068,5,2.6951728044199827e+35,6.667776412536509e+34,4.04208635333455,6.06605587352489,1.1001163257719407e+34,2.0833640751065145e+26,1.0000000000000007,0.052745749458099955
4,ok,2459861.4198085037,2459861.4613054814,0.9959274642169476,50,309.2631376484057,-41.26308199907684,-41.26308199907684,5,1.1747323036801599e+36,2.592527822976361e+35,4.531223515786627,6.5621548554677345,1.587038273228531e+34,5.521326359593829e+33,1.0000000000000007,1.3049325093635e-16
5,ok,2459861.4614173328,2459861.503026162,0.9986118972301483,50,293.2351784238929,-50.471595924893805,-50.471595924893805,5,4.618964510071391e+35,6.947480563840071e+34,6.6484022051273755,8.227172848710723,6.432492646891997e+33,5.800325854156075e+28,1.0000000000000004,0.05278989462569581
6,ok,2459861.5031380136,2459861.544634991,0.9959274530410767,50,306.42160547607966,-42.71326616694246,-42.71326616694246,5,8.231931282041169e+35,2.4058909385104107e+35,3.4215729193185735,5.342257999571215,1.482105373757867e+34,4.738841503741296e+33,1.0000000000000007,0.10820022674123392
7,ok,2459861.5447468427,2459861.5863556718,0.9986118972301483,50,311.8542032955417,-42.020665529864225,-42.02066552986422,5,1.562465261481284e+36,2.5994316499914265e+35,6.010795711771984,7.789319679024369,1.6688172615174468e+34,5.205715321625524e+33,1.0000000000000009,5.512963866785359e-05
8,ok,2459861.5864675236,2459861.627964501,0.9959274530410767,50,297.27172560546074,-47.06903600253995,-47.06903600253995,5,5.2169830575284046e+35,1.7081789390251134e+35,3.0541197636506543,4.84886063392567,1.438063344823431e+34,2.2813565219756904e+32,1.0000000000000007,0.2688664415807226
9,ok,2459861.628076352,2459861.669685181,0.9986118972301483,50,299.92732950658996,-43.347803259763744,-43.347803259763744,5,4.42057938494994e+35,9.076981203734884e+34,4.870098643733023,6.8753775792819845,1.5639684083067892e+34,1.9215938912026732e+27,1.0000000000000007,0.08606064034674481
10,ok,2459861.669797033,2459861.7101754937,0.9690830558538437,50,259.3333533663041,-51.318005372938025,-74.95209781815551,5,3.5721031509344736e+35,7.527219907659131e+34,4.745580964493638,6.762893873068279,9.444079322549656e+33,8.40290512840025e+29,1.0000000000000004,4.2589539236100754e-08
