window_idx,i,j,satellite_i,satellite_j,peak_coherence,weighted_coherence,peak_delay_ns,min_delta_tau_ns,median_delta_tau_ns,delay_bin_width_ns,fraction_time_delta_tau_lt_bin,overlap_duration_same_delay_bin_s,mean_coherence,p95_coherence
0,0,1,,,1.0000000000000004,1.0,-3996.097560975609,0.0,0.0,12.487804878048792,1.0,3604.6716570854187,1.0,1.0000000000000002
0,0,2,,,0.9999984909169519,0.9999963686382379,-149.85365853658536,7.778199216059006e-05,0.007575076941325659,12.487804878048792,1.0,3604.6716570854187,0.9973039267264792,0.9999862836636938
0,0,3,,,0.9999925044411645,0.9999822038726501,-137.36585365853657,8.733465715676106e-05,0.018702661069218838,12.487804878048792,1.0,3604.6716570854187,0.9885616840920581,0.9999267980917184
0,0,4,,,0.9999925044411645,0.9999822038726501,-137.36585365853657,8.733465715676106e-05,0.018702661069218838,12.487804878048792,1.0,3604.6716570854187,0.9885616840920581,0.9999267980917184
0,1,2,,,0.9999984909169519,0.9999963686382379,-149.85365853658536,7.778199216059006e-05,0.007575076941325659,12.487804878048792,1.0,3604.6716570854187,0.9973039267264792,0.9999862836636938
0,1,3,,,0.9999925044411645,0.9999822038726501,-137.36585365853657,8.733465715676106e-05,0.018702661069218838,12.487804878048792,1.0,3604.6716570854187,0.9885616840920581,0.9999267980917184
0,1,4,,,0.9999925044411645,0.9999822038726501,-137.36585365853657,8.733465715676106e-05,0.018702661069218838,12.487804878048792,1.0,3604.6716570854187,0.9885616840920581,0.9999267980917184
0,2,3,,,0.9999977247982751,0.9999943877702113,-112.39024390243902,6.624113024364671e-05,0.011094530353754467,12.487804878048792,1.0,3604.6716570854187,0.9963277590239631,0.9999761001077098
0,2,4,,,0.9999977247982751,0.9999943877702113,-112.39024390243902,6.624113024364671e-05,0.011094530353754467,12.487804878048792,1.0,3604.6716570854187,0.9963277590239631,0.9999761001077098
0,3,4,,,1.0000000000000004,1.0,-3321.7560975609754,0.0,0.0,12.487804878048792,1.0,3604.6716570854187,1.0,1.0000000000000002
